payment_id,project_id,installment_no,amount,payment_date,payment_mode,milestone_reached_pct,flagged
PAY-000049,MPLADS-KL-2023-00001,1,286184.98,2023-11-17,DBT,31.9,False
PAY-000050,MPLADS-KL-2023-00001,2,229488.65,2023-12-22,DBT,62.1,False
PAY-000051,MPLADS-KL-2023-00001,3,297821.11,2024-01-28,DBT,86.0,False
PAY-000052,MPLADS-JH-2024-00001,1,164366.15,2024-08-22,DBT,9.6,False
PAY-000053,MPLADS-JH-2024-00001,2,85278.6,2024-10-11,DBT,16.5,False
PAY-000054,MPLADS-JH-2024-00001,3,352230.5,2024-12-27,DBT,33.9,False
PAY-000055,MPLADS-JH-2024-00001,4,471056.15,2025-01-31,DBT,65.3,False
PAY-000056,MPLADS-JH-2024-00001,5,449232.72,2025-04-05,RTGS,100.0,False
PAY-000057,MPLADS-CG-2020-00003,1,348455.31,2020-10-21,DBT,11.5,False
PAY-000058,MPLADS-CG-2020-00003,2,186701.31,2020-11-23,RTGS,18.6,False
PAY-000059,MPLADS-CG-2020-00003,3,678743.93,2021-01-30,DBT,49.0,False
PAY-000060,MPLADS-CG-2020-00003,4,233430.93,2021-03-29,DBT,58.8,False
PAY-000061,MPLADS-AP-2024-00002,1,52956.42,2025-01-22,RTGS,4.4,False
PAY-000062,MPLADS-AP-2024-00002,2,275532.78,2025-03-18,DBT,30.1,False
PAY-000063,MPLADS-AP-2024-00002,3,205453.32,2025-05-23,DBT,51.5,False
PAY-000064,MPLADS-AP-2024-00002,4,220764.53,2025-07-23,DBT,69.3,False
PAY-000065,MPLADS-AP-2024-00002,5,173346.48,2025-09-24,CHEQUE,83.2,False
PAY-000066,MPLADS-AP-2024-00002,6,95781.66,2025-12-13,DBT,97.9,False
PAY-000067,MPLADS-HR-2025-00002,1,1407467.85,2025-08-14,RTGS,98.0,False
PAY-000068,MPLADS-HR-2025-00002,2,58433.01,2025-09-19,DBT,94.3,False
PAY-000069,MPLADS-JH-2024-00002,1,768428.91,2024-07-26,DBT,36.1,False
PAY-000070,MPLADS-JH-2024-00002,2,89325.91,2024-09-09,RTGS,41.2,False
PAY-000071,MPLADS-JH-2024-00002,3,533702.14,2024-11-07,DBT,75.2,False
PAY-000072,MPLADS-JH-2024-00002,4,107981.16,2025-01-10,DBT,82.1,False
PAY-000073,MPLADS-JH-2024-00002,5,473394.48,2025-02-28,DBT,85.0,False
PAY-000074,MPLADS-MH-2025-00002,1,1459122.66,2026-02-13,DBT,68.6,False
PAY-000075,MPLADS-MH-2025-00002,2,198782.63,2026-04-26,RTGS,77.1,False
PAY-000076,MPLADS-KL-2025-00002,1,375212.37,2025-12-24,DBT,17.4,False
PAY-000077,MPLADS-KL-2025-00002,2,278701.31,2026-02-11,RTGS,37.0,False
PAY-000078,MPLADS-KL-2025-00002,3,752960.07,2026-04-11,DBT,74.2,False
PAY-000079,MPLADS-KL-2025-00002,4,351283.67,2026-05-18,DBT,91.3,False
PAY-000080,MPLADS-CG-2024-00004,1,94232.76,2025-03-10,DBT,17.1,False
PAY-000081,MPLADS-CG-2024-00004,2,102299.2,2025-05-21,DBT,37.4,False
PAY-000082,MPLADS-CG-2024-00004,3,38490.06,2025-07-01,DBT,46.4,False
PAY-000083,MPLADS-CG-2024-00004,4,103419.02,2025-09-02,RTGS,59.4,False
PAY-000084,MPLADS-CG-2024-00005,1,252635.03,2025-05-05,CHEQUE,14.9,False
PAY-000085,MPLADS-CG-2024-00005,2,67604.59,2025-08-02,RTGS,16.6,False
PAY-000086,MPLADS-CG-2024-00005,3,1476421.81,2025-09-24,DBT,92.8,False
PAY-000087,MPLADS-OD-2024-00002,1,2023199.77,2025-01-27,RTGS,50.1,False
PAY-000088,MPLADS-OD-2024-00002,2,597599.63,2025-04-04,DBT,57.5,False
PAY-000089,MPLADS-OD-2024-00002,3,1307540.38,2025-06-04,RTGS,83.9,False
PAY-000090,MPLADS-AS-2022-00001,1,909901.77,2023-05-01,DBT,23.2,False
PAY-000091,MPLADS-AS-2022-00001,2,1129296.38,2023-06-12,RTGS,66.7,False
PAY-000092,MPLADS-AS-2022-00001,3,1169807.02,2023-07-21,DBT,94.3,False
PAY-000093,MPLADS-RJ-2024-00002,1,211328.93,2025-01-05,DBT,21.9,False
PAY-000094,MPLADS-RJ-2024-00002,2,148087.45,2025-03-02,DBT,39.9,False
PAY-000095,MPLADS-RJ-2024-00002,3,87107.39,2025-05-25,DBT,45.4,False
PAY-000096,MPLADS-RJ-2024-00002,4,115329.5,2025-08-17,DBT,60.0,False
PAY-000097,MPLADS-AS-2019-00002,1,277060.27,2019-10-25,DBT,11.6,False
PAY-000098,MPLADS-AS-2019-00002,2,1543596.22,2019-12-21,DBT,68.0,False
PAY-000099,MPLADS-AS-2019-00002,3,660764.62,2020-02-12,RTGS,92.5,False
PAY-000100,MPLADS-AS-2025-00003,1,131293.54,2026-03-09,DBT,12.7,False
PAY-000101,MPLADS-AS-2025-00003,2,185438.8,2026-04-11,DBT,31.6,False
PAY-000102,MPLADS-AS-2025-00003,3,65731.85,2026-06-04,RTGS,33.5,False
PAY-000103,MPLADS-AS-2025-00003,4,8448.38,2026-07-11,DBT,39.4,False
PAY-000104,MPLADS-TG-2025-00002,1,203736.35,2025-12-14,DBT,18.6,False
PAY-000105,MPLADS-TG-2025-00002,2,221209.44,2026-01-26,DBT,33.0,False
PAY-000106,MPLADS-TG-2025-00002,3,199714.09,2026-02-23,DBT,53.6,False
PAY-000107,MPLADS-TG-2025-00002,4,181639.66,2026-04-07,CHEQUE,58.0,False
PAY-000108,MPLADS-TG-2025-00002,5,221623.14,2026-05-03,DBT,93.4,False
PAY-000109,MPLADS-TG-2025-00002,6,217688.91,2026-06-21,RTGS,100.0,False
PAY-000110,MPLADS-TG-2025-00002,7,174817.31,2026-07-20,DBT,100.0,False
PAY-000111,MPLADS-KA-2022-00002,1,568200.07,2023-03-01,CHEQUE,21.3,False
PAY-000112,MPLADS-KA-2022-00002,2,262922.55,2023-05-12,DBT,24.8,False
PAY-000113,MPLADS-KA-2022-00002,3,417299.61,2023-08-03,RTGS,44.9,False
PAY-000114,MPLADS-KA-2022-00002,4,1537625.02,2023-10-01,RTGS,94.8,False
PAY-000115,MPLADS-WB-2024-00001,1,85153.36,2025-04-05,DBT,7.1,False
PAY-000116,MPLADS-WB-2024-00001,2,209604.15,2025-07-01,DBT,25.2,False
PAY-000117,MPLADS-WB-2024-00001,3,77896.1,2025-09-11,DBT,33.2,False
PAY-000118,MPLADS-WB-2024-00001,4,328205.26,2025-12-07,RTGS,63.2,False
PAY-000119,MPLADS-WB-2024-00001,5,106240.94,2026-03-04,DBT,62.9,False
PAY-000120,MPLADS-WB-2024-00001,6,258987.83,2026-04-21,DBT,92.2,False
PAY-000121,MPLADS-CG-2022-00006,1,724610.43,2023-02-28,RTGS,50.4,False
PAY-000122,MPLADS-CG-2022-00006,2,79601.67,2023-04-01,DBT,58.0,False
PAY-000123,MPLADS-CG-2022-00006,3,261044.89,2023-06-26,DBT,63.2,False
PAY-000124,MPLADS-CG-2022-00006,4,380491.39,2023-08-27,DBT,98.7,False
PAY-000125,MPLADS-BR-2020-00003,1,210148.45,2021-05-23,DBT,21.1,False
PAY-000126,MPLADS-BR-2020-00003,2,297543.64,2021-06-29,DBT,56.4,False
PAY-000127,MPLADS-BR-2020-00003,3,425832.49,2021-08-26,DBT,90.3,False
PAY-000128,MPLADS-GJ-2022-00001,1,45166.8,2023-05-19,DBT,5.2,False
PAY-000129,MPLADS-GJ-2022-00001,2,278916.37,2023-08-09,DBT,39.0,False
PAY-000130,MPLADS-GJ-2022-00001,3,113489.1,2023-11-02,DBT,44.2,False
PAY-000131,MPLADS-GJ-2022-00001,4,210654.09,2023-12-28,RTGS,79.9,False
PAY-000132,MPLADS-GJ-2022-00001,5,71840.39,2024-02-09,RTGS,82.2,False
PAY-000133,MPLADS-GJ-2022-00001,6,144724.23,2024-04-29,DBT,90.0,False
PAY-000134,MPLADS-KA-2023-00003,1,227662.79,2024-02-08,DBT,9.5,False
PAY-000135,MPLADS-KA-2023-00003,2,1839417.73,2024-03-17,DBT,84.5,False
PAY-000136,MPLADS-KA-2023-00003,3,353840.33,2024-05-17,DBT,96.7,False
PAY-000137,MPLADS-TG-2021-00003,1,193211.79,2021-10-06,DBT,7.7,False
PAY-000138,MPLADS-TG-2021-00003,2,268328.62,2021-12-19,DBT,18.3,False
PAY-000139,MPLADS-TG-2021-00003,3,175865.51,2022-02-13,DBT,26.6,False
PAY-000140,MPLADS-TG-2021-00003,4,599023.97,2022-05-05,DBT,46.0,False
PAY-000141,MPLADS-TG-2021-00003,5,171663.75,2022-07-13,DBT,57.8,False
PAY-000142,MPLADS-BR-2023-00004,1,131979.63,2023-09-06,DBT,17.8,False
PAY-000143,MPLADS-BR-2023-00004,2,53416.23,2023-11-01,DBT,25.9,False
PAY-000144,MPLADS-BR-2023-00004,3,161207.68,2024-01-09,DBT,49.1,False
PAY-000145,MPLADS-BR-2023-00004,4,47708.57,2024-03-07,DBT,48.4,False
PAY-000146,MPLADS-BR-2023-00004,5,148917.13,2024-05-17,DBT,65.5,False
PAY-000147,MPLADS-BR-2023-00004,6,169929.49,2024-08-01,DBT,100.0,False
PAY-000148,MPLADS-AP-2019-00003,1,201876.72,2020-03-23,DBT,29.9,False
PAY-000149,MPLADS-AP-2019-00003,2,85822.16,2020-06-15,DBT,34.5,False
PAY-000150,MPLADS-AP-2019-00003,3,120432.66,2020-07-27,DBT,55.3,False
PAY-000151,MPLADS-AP-2019-00003,4,157050.5,2020-09-13,RTGS,75.0,False
PAY-000152,MPLADS-AP-2019-00003,5,133712.12,2020-11-07,DBT,94.5,False
PAY-000153,MPLADS-UP-2024-00003,1,275532.44,2024-12-16,RTGS,16.0,False
PAY-000154,MPLADS-UP-2024-00003,2,384188.54,2025-03-08,DBT,37.8,False
PAY-000155,MPLADS-UP-2024-00003,3,762683.25,2025-06-01,RTGS,82.4,False
PAY-000156,MPLADS-UP-2024-00003,4,62206.3,2025-08-29,DBT,89.1,False
PAY-000157,MPLADS-UP-2024-00003,5,126672.54,2025-11-06,DBT,93.2,False
PAY-000158,MPLADS-UP-2024-00003,6,40198.67,2025-12-17,DBT,94.5,False
PAY-000159,MPLADS-RJ-2023-00003,1,42553.57,2023-12-14,DBT,2.9,False
PAY-000160,MPLADS-RJ-2023-00003,2,367634.0,2024-02-25,RTGS,26.6,False
PAY-000161,MPLADS-RJ-2023-00003,3,84465.18,2024-04-03,RTGS,31.8,False
PAY-000162,MPLADS-RJ-2023-00003,4,80299.65,2024-05-08,DBT,38.0,False
PAY-000163,MPLADS-KL-2025-00003,1,267692.46,2025-10-17,DBT,22.8,False
PAY-000164,MPLADS-KL-2025-00003,2,215706.7,2025-12-12,DBT,39.4,False
PAY-000165,MPLADS-KL-2025-00003,3,189974.46,2026-01-12,DBT,56.3,False
PAY-000166,MPLADS-KL-2025-00003,4,97281.75,2026-03-16,RTGS,64.8,False
PAY-000167,MPLADS-KL-2025-00003,5,237118.59,2026-05-25,DBT,100.0,False
PAY-000168,MPLADS-AP-2023-00004,1,127955.45,2024-04-01,DBT,6.5,False
PAY-000169,MPLADS-AP-2023-00004,2,228072.82,2024-05-30,DBT,17.2,False
PAY-000170,MPLADS-AP-2023-00004,3,256993.83,2024-07-18,CHEQUE,32.8,False
PAY-000171,MPLADS-AP-2023-00004,4,121956.46,2024-08-21,CHEQUE,32.9,False
PAY-000172,MPLADS-AP-2023-00004,5,121615.95,2024-11-11,DBT,37.1,False
PAY-000173,MPLADS-MH-2020-00003,1,1012664.94,2020-10-23,DBT,66.1,False
PAY-000174,MPLADS-MH-2020-00003,2,272579.15,2021-01-14,DBT,72.4,False
PAY-000175,MPLADS-MH-2020-00003,3,351272.71,2021-04-07,DBT,100.0,False
PAY-000176,MPLADS-AP-2023-00005,1,247635.88,2024-01-30,DBT,26.2,False
PAY-000177,MPLADS-AP-2023-00005,2,363287.68,2024-04-07,CHEQUE,58.6,False
PAY-000178,MPLADS-AP-2023-00005,3,268474.35,2024-06-17,CHEQUE,97.9,False
PAY-000179,MPLADS-OD-2021-00003,1,603498.78,2021-11-10,RTGS,74.8,False
PAY-000180,MPLADS-OD-2021-00003,2,221524.17,2022-01-11,CHEQUE,97.3,False
PAY-000181,MPLADS-AS-2023-00004,1,656064.05,2023-10-02,DBT,16.9,False
PAY-000182,MPLADS-AS-2023-00004,2,823331.85,2023-11-13,DBT,33.5,False
PAY-000183,MPLADS-AS-2023-00004,3,2155739.62,2023-12-28,DBT,83.8,False
PAY-000184,MPLADS-AP-2020-00006,1,1060332.7,2021-02-21,RTGS,41.2,False
PAY-000185,MPLADS-AP-2023-00007,1,150376.36,2024-01-05,DBT,8.8,False
PAY-000186,MPLADS-AP-2023-00007,2,118866.62,2024-03-07,DBT,19.3,False
PAY-000187,MPLADS-AP-2023-00007,3,372881.31,2024-04-13,DBT,43.4,False
PAY-000188,MPLADS-AP-2023-00007,4,519844.27,2024-05-18,DBT,81.8,False
PAY-000189,MPLADS-AP-2023-00007,5,147520.94,2024-07-05,RTGS,84.1,False
PAY-000190,MPLADS-AP-2023-00007,6,100044.96,2024-09-11,RTGS,100.0,False
PAY-000191,MPLADS-CG-2023-00007,1,654698.05,2023-11-12,DBT,42.5,False
PAY-000192,MPLADS-CG-2023-00007,2,222006.89,2024-01-10,RTGS,56.9,False
PAY-000193,MPLADS-CG-2023-00007,3,889210.66,2024-01-14,DBT,47.469381132681995,False
PAY-000194,MPLADS-CG-2023-00007,4,101581.51,2024-02-27,RTGS,100.0,False
PAY-000195,MPLADS-BR-2023-00005,1,176606.96,2023-12-29,DBT,12.5,False
PAY-000196,MPLADS-BR-2023-00005,2,274131.88,2024-02-19,RTGS,33.7,False
PAY-000197,MPLADS-BR-2023-00005,3,427641.92,2024-04-02,DBT,75.8,False
PAY-000198,MPLADS-BR-2023-00005,4,30648.27,2024-06-15,DBT,77.6,False
PAY-000199,MPLADS-BR-2023-00005,5,278569.16,2024-08-05,DBT,97.1,False
PAY-000200,MPLADS-PB-2025-00001,1,403174.99,2026-03-18,DBT,11.9,False
PAY-000201,MPLADS-PB-2025-00001,2,343685.29,2026-06-04,DBT,24.7,False
PAY-000202,MPLADS-PB-2025-00001,3,835898.17,2026-07-18,DBT,46.4,False
PAY-000203,MPLADS-AP-2019-00008,1,2471814.26,2020-03-24,RTGS,72.9,False
PAY-000204,MPLADS-AP-2019-00008,2,688765.03,2020-06-01,DBT,94.2,False
PAY-000205,MPLADS-BR-2022-00006,1,2978392.97,2022-08-09,CHEQUE,91.3,False
PAY-000206,MPLADS-MH-2024-00004,1,329112.33,2025-01-29,CHEQUE,26.2,False
PAY-000207,MPLADS-MH-2024-00004,2,275288.22,2025-04-22,DBT,53.3,False
PAY-000208,MPLADS-MH-2024-00004,3,99390.32,2025-05-22,DBT,53.4,False
PAY-000209,MPLADS-MH-2024-00004,4,219863.49,2025-08-02,RTGS,81.7,False
PAY-000210,MPLADS-UP-2025-00004,1,473971.37,2026-04-15,RTGS,43.6,False
PAY-000211,MPLADS-UP-2025-00004,2,491483.6,2026-06-04,DBT,95.4,False
PAY-000212,MPLADS-KL-2019-00004,1,618359.18,2019-11-28,DBT,75.1,False
PAY-000213,MPLADS-KL-2019-00004,2,185822.86,2020-01-18,CHEQUE,99.8,False
PAY-000214,MPLADS-MP-2019-00002,1,263095.97,2020-04-16,DBT,12.7,False
PAY-000215,MPLADS-MP-2019-00002,2,245871.94,2020-05-24,CHEQUE,25.1,False
PAY-000216,MPLADS-MP-2019-00002,3,851296.22,2020-07-30,RTGS,63.7,False
PAY-000217,MPLADS-MP-2019-00002,4,656287.49,2020-10-12,DBT,89.3,False
PAY-000218,MPLADS-UP-2023-00005,1,274841.1,2023-08-18,RTGS,15.1,False
PAY-000219,MPLADS-UP-2023-00005,2,1047597.71,2023-09-29,RTGS,70.9,False
PAY-000220,MPLADS-UP-2023-00005,3,176413.35,2023-11-14,DBT,66.9,False
PAY-000221,MPLADS-UP-2023-00005,4,354226.57,2024-01-24,DBT,98.5,False
PAY-000222,MPLADS-TG-2025-00004,1,561239.96,2024-04-14,DBT,27.7,False
PAY-000223,MPLADS-TG-2025-00004,2,429871.05,2024-04-25,DBT,54.4,False
PAY-000224,MPLADS-TG-2025-00004,3,702708.29,2024-05-08,DBT,96.2,False
PAY-000225,MPLADS-JH-2021-00003,1,51740.7,2021-09-16,DBT,4.4,False
PAY-000226,MPLADS-JH-2021-00003,2,132646.8,2021-11-06,CHEQUE,17.1,False
PAY-000227,MPLADS-JH-2021-00003,3,34261.8,2022-01-11,DBT,19.8,False
PAY-000228,MPLADS-JH-2021-00003,4,54641.47,2022-04-03,DBT,25.6,False
PAY-000229,MPLADS-JH-2021-00003,5,52168.08,2022-06-12,RTGS,30.4,False
PAY-000230,MPLADS-JH-2021-00003,6,329728.46,2022-07-22,CHEQUE,68.8,False
PAY-000231,MPLADS-MP-2020-00003,1,1611986.65,2021-03-21,CHEQUE,36.1,False
PAY-000232,MPLADS-MP-2020-00003,2,299869.01,2021-06-12,RTGS,49.3,False
PAY-000233,MPLADS-MP-2020-00003,3,336249.5,2021-07-17,CHEQUE,58.6,False
PAY-000234,MPLADS-MP-2020-00003,4,1388936.54,2021-09-10,CHEQUE,94.3,False
PAY-000235,MPLADS-BR-2023-00007,1,2559459.57,2024-01-18,RTGS,46.4,False
PAY-000236,MPLADS-BR-2023-00007,2,1209118.73,2024-03-02,RTGS,69.8,False
PAY-000237,MPLADS-BR-2023-00007,3,1105223.92,2024-04-16,DBT,100.0,False
PAY-000238,MPLADS-UP-2024-00006,1,153120.21,2025-04-08,DBT,4.4,False
PAY-000239,MPLADS-UP-2024-00006,2,619407.83,2025-06-24,DBT,20.0,False
PAY-000240,MPLADS-HR-2019-00003,1,224583.95,2019-12-03,CHEQUE,19.1,False
PAY-000241,MPLADS-HR-2019-00003,2,146549.99,2020-01-21,RTGS,29.8,False
PAY-000242,MPLADS-HR-2019-00003,3,68459.13,2020-04-17,DBT,31.4,False
PAY-000243,MPLADS-HR-2019-00003,4,559133.69,2020-06-20,DBT,81.1,False
PAY-000244,MPLADS-CG-2025-00008,1,527313.19,2025-09-09,RTGS,38.5,False
PAY-000245,MPLADS-CG-2025-00008,2,654439.83,2025-10-16,DBT,90.8,False
PAY-000246,MPLADS-TG-2021-00005,1,1146897.11,2021-10-23,DBT,86.1,False
PAY-000247,MPLADS-KL-2025-00005,1,1670518.3,2026-01-14,DBT,31.4,False
PAY-000248,MPLADS-KL-2025-00005,2,2026531.74,2026-02-19,DBT,79.2,False
PAY-000249,MPLADS-KL-2025-00005,3,881922.57,2026-03-24,DBT,92.9,False
PAY-000250,MPLADS-MH-2021-00005,1,188302.01,2022-02-02,RTGS,19.1,False
PAY-000251,MPLADS-MH-2021-00005,2,687573.25,2022-03-29,RTGS,87.5,False
PAY-000252,MPLADS-MH-2021-00005,3,62043.63,2022-05-06,DBT,77.9,False
PAY-000253,MPLADS-MH-2021-00005,4,138777.06,2022-07-23,RTGS,90.3,False
PAY-000254,MPLADS-JH-2024-00004,1,3198106.23,2024-04-10,DBT,68.1,False
PAY-000255,MPLADS-JH-2024-00004,2,1123539.58,2024-04-23,RTGS,88.5,False
PAY-000256,MPLADS-WB-2021-00002,1,1511784.55,2021-09-03,DBT,39.9,False
PAY-000257,MPLADS-WB-2021-00002,2,53997.59,2021-10-09,DBT,43.5,False
PAY-000258,MPLADS-WB-2021-00002,3,462205.94,2021-11-26,RTGS,49.1,False
PAY-000259,MPLADS-WB-2021-00002,4,571925.06,2022-01-31,DBT,57.7,False
PAY-000260,MPLADS-WB-2021-00002,5,1286325.62,2022-03-24,DBT,89.5,False
PAY-000261,MPLADS-AS-2022-00005,1,1185475.64,2023-04-10,CHEQUE,61.6,False
PAY-000262,MPLADS-AS-2022-00005,2,585148.51,2023-05-24,DBT,83.5,False
PAY-000263,MPLADS-KA-2024-00004,1,330354.08,2025-04-12,DBT,19.8,False
PAY-000264,MPLADS-KA-2024-00004,2,939314.21,2025-05-21,DBT,80.8,False
PAY-000265,MPLADS-KA-2024-00004,3,139435.31,2025-07-02,DBT,87.3,False
PAY-000266,MPLADS-HR-2020-00004,1,342403.9,2021-02-07,DBT,13.7,False
PAY-000267,MPLADS-HR-2020-00004,2,308694.26,2021-03-28,DBT,23.6,False
PAY-000268,MPLADS-HR-2020-00004,3,1325511.28,2021-06-22,DBT,76.1,False
PAY-000269,MPLADS-WB-2024-00003,1,311416.93,2024-12-12,DBT,56.1,False
PAY-000270,MPLADS-WB-2024-00003,2,64310.25,2025-02-16,DBT,70.8,False
PAY-000271,MPLADS-WB-2024-00003,3,180386.63,2025-03-21,DBT,84.7,False
PAY-000272,MPLADS-AP-2024-00009,1,179508.67,2024-07-15,DBT,7.7,False
PAY-000273,MPLADS-AP-2024-00009,2,566193.11,2024-08-21,DBT,28.1,False
PAY-000274,MPLADS-AP-2024-00009,3,44545.11,2024-10-05,DBT,34.1,False
PAY-000275,MPLADS-AP-2024-00009,4,400931.45,2024-12-27,RTGS,43.3,False
PAY-000276,MPLADS-MP-2024-00004,1,1052084.34,2025-04-28,DBT,18.1,False
PAY-000277,MPLADS-MP-2024-00004,2,2370117.62,2025-05-29,DBT,53.2,False
PAY-000278,MPLADS-MP-2024-00004,3,2243127.94,2025-06-29,RTGS,87.8,False
PAY-000279,MPLADS-AP-2022-00010,1,234111.65,2023-01-28,RTGS,9.6,False
PAY-000280,MPLADS-AP-2022-00010,2,207377.86,2023-03-17,CHEQUE,18.3,False
PAY-000281,MPLADS-AP-2022-00010,3,442839.89,2023-06-02,DBT,37.6,False
PAY-000282,MPLADS-AP-2022-00010,4,293543.85,2023-07-08,DBT,58.3,False
PAY-000283,MPLADS-RJ-2023-00004,1,1635280.7,2024-04-22,DBT,57.5,False
PAY-000284,MPLADS-RJ-2023-00004,2,359873.17,2024-05-23,DBT,70.1,False
PAY-000285,MPLADS-RJ-2023-00004,3,714550.51,2024-06-28,DBT,100.0,False
PAY-000286,MPLADS-CG-2023-00009,1,2094363.85,2024-03-04,DBT,66.7,False
PAY-000287,MPLADS-CG-2023-00009,2,302242.56,2024-04-09,DBT,77.3,False
PAY-000288,MPLADS-TN-2025-00002,1,386534.78,2026-01-10,DBT,96.9,False
PAY-000289,MPLADS-RJ-2021-00005,1,2369970.81,2022-06-29,DBT,95.9,False
PAY-000290,MPLADS-AP-2021-00011,1,794917.18,2021-10-22,DBT,21.1,False
PAY-000291,MPLADS-AP-2021-00011,2,846852.85,2021-12-05,DBT,41.9,False
PAY-000292,MPLADS-AP-2021-00011,3,571307.75,2022-01-23,DBT,58.2,False
PAY-000293,MPLADS-KL-2019-00006,1,201927.01,2020-04-20,DBT,28.0,False
PAY-000294,MPLADS-KL-2019-00006,2,117704.84,2020-06-15,RTGS,45.0,False
PAY-000295,MPLADS-KL-2019-00006,3,234976.13,2020-08-03,DBT,73.7,False
PAY-000296,MPLADS-KL-2019-00006,4,177600.55,2020-10-19,DBT,82.1,False
PAY-000297,MPLADS-MP-2022-00005,1,1156925.75,2023-02-25,DBT,37.2,False
