constituency_id,name,state,district,centroid_lat,centroid_lng,boundary_geojson
PC-TN-001,Madurai,Tamil Nadu,Madurai,11.772857,78.594786,
PC-TN-002,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,11.412667,78.802213,
PC-TN-003,Coimbatore,Tamil Nadu,Coimbatore,10.576001,78.763673,
PC-TN-004,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,11.252622,78.887374,
PC-TN-005,Madurai,Tamil Nadu,Madurai,10.455964,77.873989,
PC-TN-006,Coimbatore,Tamil Nadu,Coimbatore,11.752612,79.418709,
PC-TN-007,Madurai,Tamil Nadu,Madurai,10.964863,78.10138,
PC-TN-008,Salem,Tamil Nadu,Salem,11.814535,78.497375,
PC-TN-009,Madurai,Tamil Nadu,Madurai,11.041499,79.419598,
PC-TN-010,Madurai,Tamil Nadu,Madurai,10.822215,78.694794,
PC-TN-011,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,10.334052,79.200914,
PC-TN-012,Salem,Tamil Nadu,Salem,10.95472,78.151078,
PC-TN-013,Chennai,Tamil Nadu,Chennai,10.71503,79.02959,
PC-TN-014,Tiruchirappalli,Tamil Nadu,Tiruchirappalli,10.703083,78.443688,
PC-KA-001,Bengaluru Urban,Karnataka,Bengaluru Urban,14.677728,75.608076,
PC-KA-002,Hubballi-Dharwad,Karnataka,Hubballi-Dharwad,14.634102,76.216,
PC-KA-003,Hubballi-Dharwad,Karnataka,Hubballi-Dharwad,15.409075,75.652959,
PC-KA-004,Mangaluru,Karnataka,Mangaluru,15.145405,76.475601,
PC-KA-005,Mangaluru,Karnataka,Mangaluru,14.718784,75.021863,
PC-KA-006,Mysuru,Karnataka,Mysuru,14.534929,76.383276,
PC-KA-007,Belagavi,Karnataka,Belagavi,15.564747,76.333097,
PC-KA-008,Belagavi,Karnataka,Belagavi,15.854125,75.587826,
PC-KA-009,Mysuru,Karnataka,Mysuru,15.509666,75.901843,
PC-KA-010,Belagavi,Karnataka,Belagavi,15.293902,75.396215,
PC-KA-011,Belagavi,Karnataka,Belagavi,15.182465,75.240491,
PC-KA-012,Bengaluru Urban,Karnataka,Bengaluru Urban,14.894956,75.48282,
PC-KA-013,Belagavi,Karnataka,Belagavi,14.738655,75.267704,
PC-KA-014,Belagavi,Karnataka,Belagavi,15.14056,75.27948,
PC-KA-015,Mangaluru,Karnataka,Mangaluru,15.341701,75.050826,
PC-RJ-001,Udaipur,Rajasthan,Udaipur,27.422938,74.623438,
PC-RJ-002,Jaipur,Rajasthan,Jaipur,26.438041,74.304608,
PC-RJ-003,Jodhpur,Rajasthan,Jodhpur,27.546363,74.995413,
PC-RJ-004,Kota,Rajasthan,Kota,26.854788,74.265225,
PC-RJ-005,Jaipur,Rajasthan,Jaipur,27.741653,73.5204,
PC-RJ-006,Bikaner,Rajasthan,Bikaner,27.593016,73.434642,
PC-RJ-007,Jodhpur,Rajasthan,Jodhpur,27.356172,73.688293,
PC-RJ-008,Udaipur,Rajasthan,Udaipur,26.393634,74.736445,
PC-RJ-009,Kota,Rajasthan,Kota,27.615227,74.616789,
PC-RJ-010,Jodhpur,Rajasthan,Jodhpur,27.660029,74.634021,
PC-RJ-011,Udaipur,Rajasthan,Udaipur,27.520266,74.111946,
PC-GJ-001,Surat,Gujarat,Surat,22.540403,71.346673,
PC-GJ-002,Ahmedabad,Gujarat,Ahmedabad,21.794751,70.403373,
PC-GJ-003,Vadodara,Gujarat,Vadodara,22.647751,70.753625,
PC-GJ-004,Vadodara,Gujarat,Vadodara,22.197543,70.977506,
PC-GJ-005,Bhavnagar,Gujarat,Bhavnagar,22.415206,71.545525,
PC-GJ-006,Vadodara,Gujarat,Vadodara,21.849349,71.126015,
PC-GJ-007,Surat,Gujarat,Surat,22.968838,70.414636,
PC-GJ-008,Bhavnagar,Gujarat,Bhavnagar,23.030218,71.911156,
PC-GJ-009,Surat,Gujarat,Surat,22.009043,70.679188,
PC-GJ-010,Rajkot,Gujarat,Rajkot,21.83298,70.57843,
PC-GJ-011,Vadodara,Gujarat,Vadodara,23.004972,71.319448,
PC-GJ-012,Vadodara,Gujarat,Vadodara,21.491777,71.473168,
PC-GJ-013,Vadodara,Gujarat,Vadodara,22.714404,71.60356,
PC-GJ-014,Rajkot,Gujarat,Rajkot,22.982182,71.794154,
PC-GJ-015,Bhavnagar,Gujarat,Bhavnagar,21.575861,71.067208,
PC-GJ-016,Surat,Gujarat,Surat,22.631331,70.780983,
PC-MP-001,Gwalior,Madhya Pradesh,Gwalior,23.377283,78.736262,
PC-MP-002,Gwalior,Madhya Pradesh,Gwalior,23.302273,79.022645,
PC-MP-003,Ujjain,Madhya Pradesh,Ujjain,23.657622,79.39159,
PC-MP-004,Bhopal,Madhya Pradesh,Bhopal,23.455677,78.249969,
PC-MP-005,Gwalior,Madhya Pradesh,Gwalior,23.302634,78.344813,
PC-MP-006,Gwalior,Madhya Pradesh,Gwalior,23.022917,79.331398,
PC-MP-007,Jabalpur,Madhya Pradesh,Jabalpur,23.327907,77.923531,
PC-MP-008,Jabalpur,Madhya Pradesh,Jabalpur,22.745577,79.331587,
PC-MP-009,Bhopal,Madhya Pradesh,Bhopal,22.583563,79.024642,
PC-MP-010,Indore,Madhya Pradesh,Indore,23.643957,78.7338,
PC-MP-011,Indore,Madhya Pradesh,Indore,23.348985,78.375327,
PC-MP-012,Ujjain,Madhya Pradesh,Ujjain,22.422192,78.066032,
PC-MP-013,Ujjain,Madhya Pradesh,Ujjain,23.147122,78.012039,
PC-AP-001,Visakhapatnam,Andhra Pradesh,Visakhapatnam,15.958527,80.443318,
PC-AP-002,Vijayawada,Andhra Pradesh,Vijayawada,15.866941,80.171565,
PC-AP-003,Vijayawada,Andhra Pradesh,Vijayawada,16.528517,80.273731,
PC-AP-004,Vijayawada,Andhra Pradesh,Vijayawada,16.078645,79.478864,
PC-AP-005,Guntur,Andhra Pradesh,Guntur,15.939203,79.837463,
PC-AP-006,Guntur,Andhra Pradesh,Guntur,16.656631,79.663209,
PC-AP-007,Visakhapatnam,Andhra Pradesh,Visakhapatnam,15.41756,79.049226,
PC-AP-008,Tirupati,Andhra Pradesh,Tirupati,16.171803,79.06937,
PC-AP-009,Vijayawada,Andhra Pradesh,Vijayawada,16.314991,80.111419,
PC-AP-010,Guntur,Andhra Pradesh,Guntur,16.30259,79.869936,
PC-AP-011,Visakhapatnam,Andhra Pradesh,Visakhapatnam,16.447774,80.258135,
PC-AP-012,Guntur,Andhra Pradesh,Guntur,16.6711,80.277351,
PC-AP-013,Vijayawada,Andhra Pradesh,Vijayawada,16.222811,79.120027,
PC-AP-014,Guntur,Andhra Pradesh,Guntur,16.333243,79.382895,
PC-TG-001,Karimnagar,Telangana,Karimnagar,17.610385,78.630786,
PC-TG-002,Karimnagar,Telangana,Karimnagar,17.752498,79.781668,
PC-TG-003,Warangal,Telangana,Warangal,17.431711,79.730758,
PC-TG-004,Karimnagar,Telangana,Karimnagar,18.204011,79.717865,
PC-TG-005,Karimnagar,Telangana,Karimnagar,17.540017,78.789717,
PC-TG-006,Karimnagar,Telangana,Karimnagar,17.351307,78.26688,
PC-TG-007,Warangal,Telangana,Warangal,17.580596,78.89815,
PC-TG-008,Karimnagar,Telangana,Karimnagar,17.728354,79.596736,
PC-TG-009,Warangal,Telangana,Warangal,18.600814,79.221239,
PC-KL-001,Thiruvananthapuram,Kerala,Thiruvananthapuram,11.398498,76.411409,
PC-KL-002,Kozhikode,Kerala,Kozhikode,10.649402,76.310073,
PC-KL-003,Thiruvananthapuram,Kerala,Thiruvananthapuram,10.818997,76.97878,
PC-KL-004,Thiruvananthapuram,Kerala,Thiruvananthapuram,11.339216,75.673674,
PC-KL-005,Kochi,Kerala,Kochi,10.244796,75.499783,
PC-KL-006,Thrissur,Kerala,Thrissur,10.144569,76.822291,
PC-KL-007,Kochi,Kerala,Kochi,11.545121,76.52202,
PC-KL-008,Thrissur,Kerala,Thrissur,10.980235,76.876478,
PC-KL-009,Kozhikode,Kerala,Kozhikode,10.52386,76.72182,
PC-KL-010,Thrissur,Kerala,Thrissur,11.335144,76.665363,
PC-PB-001,Patiala,Punjab,Patiala,30.820896,75.048525,
PC-PB-002,Amritsar,Punjab,Amritsar,31.328703,74.543232,
PC-PB-003,Patiala,Punjab,Patiala,31.560953,76.136392,
PC-PB-004,Patiala,Punjab,Patiala,30.985031,75.307137,
PC-PB-005,Jalandhar,Punjab,Jalandhar,31.345165,75.625725,
PC-PB-006,Patiala,Punjab,Patiala,31.319406,75.565903,
PC-PB-007,Patiala,Punjab,Patiala,30.441353,74.626207,
PC-PB-008,Amritsar,Punjab,Amritsar,31.714907,75.027782,
PC-PB-009,Patiala,Punjab,Patiala,30.370949,75.43016,
PC-PB-010,Jalandhar,Punjab,Jalandhar,31.735197,75.009315,
PC-PB-011,Amritsar,Punjab,Amritsar,31.804126,75.243878,
PC-HR-001,Karnal,Haryana,Karnal,29.546134,76.302861,
PC-HR-002,Karnal,Haryana,Karnal,29.628652,75.339505,
PC-HR-003,Faridabad,Haryana,Faridabad,29.166322,75.853269,
PC-HR-004,Karnal,Haryana,Karnal,28.315044,75.899546,
PC-HR-005,Gurugram,Haryana,Gurugram,29.403567,76.384629,
PC-HR-006,Karnal,Haryana,Karnal,28.562953,76.849735,
PC-HR-007,Gurugram,Haryana,Gurugram,28.704688,76.365843,
PC-HR-008,Faridabad,Haryana,Faridabad,29.74607,76.173897,
PC-HR-009,Karnal,Haryana,Karnal,28.846273,76.10149,
PC-HR-010,Faridabad,Haryana,Faridabad,28.611226,76.171419,
PC-OD-001,Puri,Odisha,Puri,21.746964,84.66139,
PC-OD-002,Bhubaneswar,Odisha,Bhubaneswar,20.490957,84.30475,
PC-OD-003,Sambalpur,Odisha,Sambalpur,20.897733,84.537271,
PC-OD-004,Bhubaneswar,Odisha,Bhubaneswar,20.832402,84.915855,
PC-OD-005,Cuttack,Odisha,Cuttack,20.957052,84.504414,
PC-OD-006,Puri,Odisha,Puri,20.300688,84.604112,
PC-OD-007,Bhubaneswar,Odisha,Bhubaneswar,21.724085,84.318716,
PC-OD-008,Cuttack,Odisha,Cuttack,21.162162,85.672416,
PC-OD-009,Sambalpur,Odisha,Sambalpur,20.839925,85.310243,
PC-OD-010,Sambalpur,Odisha,Sambalpur,20.286501,84.911394,
PC-OD-011,Bhubaneswar,Odisha,Bhubaneswar,20.332343,84.360027,
PC-OD-012,Puri,Odisha,Puri,20.228584,85.126321,
PC-OD-013,Cuttack,Odisha,Cuttack,20.462092,85.309545,
PC-OD-014,Puri,Odisha,Puri,20.826743,85.356411,
PC-OD-015,Puri,Odisha,Puri,20.261828,84.998826,
PC-OD-016,Sambalpur,Odisha,Sambalpur,20.95301,84.608547,
PC-OD-017,Bhubaneswar,Odisha,Bhubaneswar,20.355294,84.420035,
PC-AS-001,Silchar,Assam,Silchar,26.426369,93.689269,
PC-AS-002,Guwahati,Assam,Guwahati,25.718454,92.508908,
PC-AS-003,Silchar,Assam,Silchar,26.748979,92.410385,
PC-AS-004,Silchar,Assam,Silchar,25.461067,93.068756,
PC-AS-005,Silchar,Assam,Silchar,25.719301,92.217249,
PC-AS-006,Jorhat,Assam,Jorhat,25.61542,92.825224,
PC-AS-007,Guwahati,Assam,Guwahati,26.281082,93.440245,
PC-AS-008,Silchar,Assam,Silchar,25.52905,93.681232,
PC-AS-009,Dibrugarh,Assam,Dibrugarh,26.511797,92.501639,
PC-AS-010,Jorhat,Assam,Jorhat,25.473865,92.389706,
PC-AS-011,Dibrugarh,Assam,Dibrugarh,25.513681,93.534759,
PC-AS-012,Jorhat,Assam,Jorhat,25.764422,92.753076,
PC-AS-013,Jorhat,Assam,Jorhat,25.889416,92.718266,
PC-AS-014,Guwahati,Assam,Guwahati,26.179189,92.398885,
PC-AS-015,Silchar,Assam,Silchar,26.158469,93.700925,
PC-AS-016,Jorhat,Assam,Jorhat,26.544521,92.645316,
PC-AS-017,Silchar,Assam,Silchar,26.413366,92.960518,
PC-AS-018,Jorhat,Assam,Jorhat,26.625517,92.381018,
PC-JH-001,Dhanbad,Jharkhand,Dhanbad,23.523307,85.9602,
PC-JH-002,Dhanbad,Jharkhand,Dhanbad,23.58091,85.811364,
PC-JH-003,Dhanbad,Jharkhand,Dhanbad,23.789616,84.833604,
PC-JH-004,Ranchi,Jharkhand,Ranchi,23.629,84.965501,
PC-JH-005,Jamshedpur,Jharkhand,Jamshedpur,23.615915,85.992854,
PC-JH-006,Bokaro,Jharkhand,Bokaro,23.678857,85.733595,
PC-CG-001,Durg,Chhattisgarh,Durg,20.532814,82.185275,
PC-CG-002,Korba,Chhattisgarh,Korba,22.036014,81.318449,
PC-CG-003,Bilaspur,Chhattisgarh,Bilaspur,20.663758,81.383355,
PC-CG-004,Durg,Chhattisgarh,Durg,20.539122,81.342302,
PC-CG-005,Durg,Chhattisgarh,Durg,21.471052,82.104177,
PC-CG-006,Raipur,Chhattisgarh,Raipur,20.663088,81.27484,
PC-CG-007,Raipur,Chhattisgarh,Raipur,21.588861,82.627264,
PC-CG-008,Korba,Chhattisgarh,Korba,21.099132,81.647417,
PC-CG-009,Durg,Chhattisgarh,Durg,20.720196,82.22498,
PC-CG-010,Korba,Chhattisgarh,Korba,20.644136,81.723276,
PC-CG-011,Raipur,Chhattisgarh,Raipur,21.907032,81.31909,
PC-CG-012,Korba,Chhattisgarh,Korba,22.054475,81.622042,
