vendor_id,name,registration_no,state,total_projects_handled,flagged_before
VEN-00091,Divya Enterprises,REG-AP-386136,Andhra Pradesh,3,False
VEN-00092,Laxmi Enterprises,REG-AS-936183,Assam,6,False
VEN-00093,Green Valley Constructions,REG-AP-523069,Andhra Pradesh,2,False
VEN-00094,Star Infra Projects,REG-PB-984385,Punjab,2,False
VEN-00095,Star Engineering Works,REG-TN-474529,Tamil Nadu,3,False
VEN-00096,Jai Bharat Contractors,REG-TG-759660,Telangana,7,False
VEN-00097,Krishna Associates,REG-RJ-860514,Rajasthan,6,False
VEN-00098,Shree Sai Enterprises,REG-KA-833361,Karnataka,5,False
VEN-00099,Divya Engineering Works,REG-MH-330420,Maharashtra,3,False
VEN-00100,Divya Infrastructure Ltd,REG-TN-322241,Tamil Nadu,7,False
VEN-00101,Star Infrastructure Ltd,REG-PB-971282,Punjab,7,False
VEN-00102,Laxmi Infrastructure Ltd,REG-GJ-265774,Gujarat,3,False
VEN-00103,Laxmi Developers,REG-UP-354729,Uttar Pradesh,4,False
VEN-00104,Golden Enterprises,REG-KA-962932,Karnataka,5,False
VEN-00105,Green Valley Works & Co,REG-AS-605065,Assam,3,False
VEN-00106,Krishna Contractors,REG-UP-203885,Uttar Pradesh,7,False
VEN-00107,Shree Sai Builders,REG-TN-838332,Tamil Nadu,8,False
VEN-00108,Elite Works & Co,REG-CG-585421,Chhattisgarh,3,False
VEN-00109,National Associates,REG-JH-195097,Jharkhand,5,False
VEN-00110,Bharat Enterprises,REG-CG-316019,Chhattisgarh,5,False
VEN-00111,Silver Line Infra Projects,REG-TG-299133,Telangana,8,False
VEN-00112,Sundar Associates,REG-HR-967442,Haryana,6,False
VEN-00113,Vishwakarma Enterprises,REG-AP-391438,Andhra Pradesh,6,False
VEN-00114,Star Constructions,REG-WB-511614,West Bengal,5,False
VEN-00115,Metro Builders,REG-GJ-438463,Gujarat,5,False
VEN-00116,Golden Infra Projects,REG-MP-450341,Madhya Pradesh,3,False
VEN-00117,Prime Builders,REG-UP-260017,Uttar Pradesh,4,False
VEN-00118,Green Valley Infrastructure Ltd,REG-AP-647542,Andhra Pradesh,7,False
VEN-00119,Trust Enterprises,REG-KA-575194,Karnataka,3,False
VEN-00120,Ananya Associates,REG-HR-212475,Haryana,8,False
VEN-00121,Vishwakarma Contractors,REG-PB-358843,Punjab,320,True
VEN-00122,Metro Contractors,REG-JH-873947,Jharkhand,5,False
VEN-00123,Elite Enterprises,REG-WB-837997,West Bengal,4,False
VEN-00124,Green Valley Works & Co,REG-KL-545244,Kerala,4,False
VEN-00125,Green Valley Infra Projects,REG-WB-544899,West Bengal,7,False
VEN-00126,Bharat Infra Projects,REG-MH-252925,Maharashtra,10,False
VEN-00127,Bharat Contractors,REG-OD-522443,Odisha,3,False
VEN-00128,Shakti Builders,REG-WB-333617,West Bengal,4,False
VEN-00129,Golden Contractors,REG-MP-549693,Madhya Pradesh,9,False
VEN-00130,Ananya Infrastructure Ltd,REG-UP-267256,Uttar Pradesh,3,False
VEN-00131,Elite Infrastructure Ltd,REG-MP-740493,Madhya Pradesh,2,False
VEN-00132,Reliable Engineering Works,REG-KL-132464,Kerala,6,False
VEN-00133,Vishwakarma Associates,REG-RJ-666235,Rajasthan,299,True
VEN-00134,Jai Bharat Developers,REG-WB-628811,West Bengal,7,False
VEN-00135,Vishwakarma Engineering Works,REG-CG-128810,Chhattisgarh,5,False
VEN-00136,Star Constructions,REG-CG-671705,Chhattisgarh,7,False
VEN-00137,Shree Sai Engineering Works,REG-HR-329070,Haryana,2,False
VEN-00138,Trust Engineering Works,REG-HR-641227,Haryana,4,False
VEN-00139,Golden Works & Co,REG-MP-981997,Madhya Pradesh,6,False
VEN-00140,United Enterprises,REG-CG-579422,Chhattisgarh,6,False
VEN-00141,Shree Sai Constructions,REG-RJ-164031,Rajasthan,5,False
VEN-00142,Star Engineering Works,REG-AP-430166,Andhra Pradesh,6,False
VEN-00143,New Age Works & Co,REG-MH-317884,Maharashtra,5,False
VEN-00144,United Engineering Works,REG-PB-545535,Punjab,4,False
VEN-00145,Reliable Infrastructure Ltd,REG-BR-187769,Bihar,2,False
VEN-00146,Elite Infrastructure Ltd,REG-AP-952594,Andhra Pradesh,2,False
VEN-00147,Divya Works & Co,REG-PB-740023,Punjab,4,False
VEN-00148,Green Valley Infra Projects,REG-KA-232105,Karnataka,6,False
VEN-00149,Bharat Works & Co,REG-TN-645576,Tamil Nadu,3,False
VEN-00150,Reliable Infrastructure Ltd,REG-JH-483993,Jharkhand,4,False
VEN-00151,Divya Constructions,REG-KL-236703,Kerala,10,False
VEN-00152,Ganesh Works & Co,REG-OD-368559,Odisha,6,False
VEN-00153,Metro Builders,REG-UP-778880,Uttar Pradesh,4,False
VEN-00154,Krishna Engineering Works,REG-OD-980389,Odisha,3,False
VEN-00155,Elite Infrastructure Ltd,REG-MH-289522,Maharashtra,8,False
VEN-00156,Star Infra Projects,REG-TG-463923,Telangana,0,False
VEN-00157,United Associates,REG-AS-292375,Assam,6,False
VEN-00158,Sundar Constructions,REG-AS-765183,Assam,5,False
VEN-00159,Star Builders,REG-KA-980614,Karnataka,3,False
VEN-00160,Jai Bharat Developers,REG-TN-630622,Tamil Nadu,5,False
VEN-00161,Metro Works & Co,REG-MP-312668,Madhya Pradesh,5,False
VEN-00162,New Age Constructions,REG-RJ-303972,Rajasthan,7,False
VEN-00163,Silver Line Works & Co,REG-WB-733145,West Bengal,9,False
VEN-00164,Silver Line Infrastructure Ltd,REG-JH-796774,Jharkhand,4,False
VEN-00165,Laxmi Associates,REG-OD-518403,Odisha,7,False
VEN-00166,Shree Sai Builders,REG-PB-675723,Punjab,4,False
VEN-00167,Green Valley Works & Co,REG-PB-355812,Punjab,4,False
VEN-00168,Shakti Constructions,REG-GJ-219294,Gujarat,5,False
VEN-00169,Laxmi Works & Co,REG-PB-364687,Punjab,5,False
VEN-00170,Silver Line Associates,REG-MP-414467,Madhya Pradesh,2,False
VEN-00171,New Age Engineering Works,REG-JH-666778,Jharkhand,6,False
VEN-00172,Ananya Constructions,REG-OD-606195,Odisha,10,False
VEN-00173,National Contractors,REG-GJ-592488,Gujarat,2,False
VEN-00174,United Constructions,REG-HR-291135,Haryana,4,False
VEN-00175,Star Associates,REG-UP-338741,Uttar Pradesh,11,False
VEN-00176,Metro Associates,REG-TN-757615,Tamil Nadu,1,False
VEN-00177,Krishna Contractors,REG-MP-473453,Madhya Pradesh,5,False
VEN-00178,Vishwakarma Associates,REG-AS-489388,Assam,8,False
VEN-00179,Sundar Associates,REG-WB-769145,West Bengal,8,False
VEN-00180,Vishwakarma Constructions,REG-MH-423721,Maharashtra,340,True
VEN-00181,Silver Line Engineering Works,REG-WB-595834,West Bengal,7,False
VEN-00182,Divya Enterprises,REG-KA-824116,Karnataka,6,False
VEN-00183,United Infra Projects,REG-OD-331512,Odisha,6,False
VEN-00184,Laxmi Infrastructure Ltd,REG-MP-633135,Madhya Pradesh,7,False
VEN-00185,New Age Builders,REG-UP-917404,Uttar Pradesh,3,False
VEN-00186,United Infra Projects,REG-BR-871564,Bihar,3,False
VEN-00187,Vishwakarma Developers,REG-RJ-653191,Rajasthan,3,False
VEN-00188,United Constructions,REG-AP-849727,Andhra Pradesh,3,False
VEN-00189,Laxmi Works & Co,REG-MH-974427,Maharashtra,2,False
VEN-00190,Krishna Engineering Works,REG-PB-598860,Punjab,5,False
VEN-00191,Shree Sai Infrastructure Ltd,REG-AS-424670,Assam,10,False
VEN-00192,United Infrastructure Ltd,REG-RJ-612323,Rajasthan,3,False
VEN-00193,Green Valley Contractors,REG-TG-765346,Telangana,6,False
VEN-00194,National Infra Projects,REG-GJ-444654,Gujarat,3,False
VEN-00195,Jai Bharat Developers,REG-TN-374036,Tamil Nadu,7,False
VEN-00196,National Builders,REG-KL-161553,Kerala,5,False
VEN-00197,Elite Infra Projects,REG-CG-437203,Chhattisgarh,4,False
VEN-00198,Vishwakarma Infra Projects,REG-JH-798905,Jharkhand,4,False
VEN-00199,Divya Enterprises,REG-RJ-217962,Rajasthan,1,False
VEN-00200,Trust Enterprises,REG-AP-947183,Andhra Pradesh,6,False
VEN-00201,Vishwakarma Associates,REG-AP-820608,Andhra Pradesh,4,False
VEN-00202,Jai Bharat Infrastructure Ltd,REG-GJ-802620,Gujarat,6,False
VEN-00203,Jai Bharat Developers,REG-UP-349846,Uttar Pradesh,8,False
VEN-00204,Krishna Infrastructure Ltd,REG-CG-699514,Chhattisgarh,3,False
VEN-00205,Shakti Constructions,REG-CG-291572,Chhattisgarh,7,False
VEN-00206,Green Valley Developers,REG-AP-576435,Andhra Pradesh,5,False
VEN-00207,Divya Builders,REG-TG-338392,Telangana,5,False
VEN-00208,National Contractors,REG-OD-655374,Odisha,2,False
VEN-00209,Star Enterprises,REG-TN-742734,Tamil Nadu,2,False
VEN-00210,Bharat Engineering Works,REG-BR-109084,Bihar,5,False
VEN-00211,New Age Enterprises,REG-OD-514900,Odisha,9,False
VEN-00212,United Associates,REG-PB-224354,Punjab,5,False
VEN-00213,United Works & Co,REG-OD-346402,Odisha,6,False
VEN-00214,Vishwakarma Enterprises,REG-JH-295240,Jharkhand,7,False
VEN-00215,Green Valley Infra Projects,REG-PB-991903,Punjab,11,False
VEN-00216,Metro Engineering Works,REG-AP-169967,Andhra Pradesh,7,False
VEN-00217,New Age Contractors,REG-UP-761929,Uttar Pradesh,5,False
VEN-00218,Om Contractors,REG-BR-228005,Bihar,9,False
VEN-00219,Divya Constructions,REG-BR-913103,Bihar,3,False
VEN-00220,Ananya Builders,REG-UP-539190,Uttar Pradesh,4,False
VEN-00221,Trust Works & Co,REG-KL-296764,Kerala,8,False
VEN-00222,Ananya Associates,REG-RJ-817597,Rajasthan,4,False
VEN-00223,United Associates,REG-TN-977517,Tamil Nadu,3,False
VEN-00224,Om Works & Co,REG-KA-790191,Karnataka,6,False
VEN-00225,Metro Enterprises,REG-HR-589570,Haryana,10,False
VEN-00226,National Enterprises,REG-PB-725326,Punjab,2,False
VEN-00227,Green Valley Builders,REG-JH-234721,Jharkhand,4,False
VEN-00228,New Age Enterprises,REG-AS-786318,Assam,5,False
VEN-00229,Silver Line Enterprises,REG-KA-996840,Karnataka,6,False
VEN-00230,Green Valley Contractors,REG-KL-188646,Kerala,3,False
VEN-00231,Om Contractors,REG-GJ-669111,Gujarat,4,False
VEN-00232,National Associates,REG-UP-511174,Uttar Pradesh,4,False
VEN-00233,Ananya Contractors,REG-KA-458002,Karnataka,7,False
VEN-00234,Shree Sai Contractors,REG-PB-481333,Punjab,7,False
VEN-00235,Trust Associates,REG-WB-486613,West Bengal,7,False
VEN-00236,Ananya Engineering Works,REG-KA-873796,Karnataka,5,False
VEN-00237,Golden Developers,REG-TG-745639,Telangana,7,False
VEN-00238,Jai Bharat Engineering Works,REG-TN-708511,Tamil Nadu,7,False
VEN-00239,Ganesh Enterprises,REG-BR-609157,Bihar,6,False
VEN-00240,Jai Bharat Builders,REG-TN-885752,Tamil Nadu,5,False
VEN-00241,Silver Line Engineering Works,REG-UP-805900,Uttar Pradesh,0,False
VEN-00242,Ganesh Infrastructure Ltd,REG-GJ-463457,Gujarat,2,False
VEN-00243,Om Infrastructure Ltd,REG-AP-133368,Andhra Pradesh,4,False
VEN-00244,Jai Bharat Infra Projects,REG-UP-763890,Uttar Pradesh,7,False
VEN-00245,Shakti Enterprises,REG-MH-480607,Maharashtra,5,False
VEN-00246,Vishwakarma Associates,REG-RJ-422201,Rajasthan,3,False
VEN-00247,Ganesh Enterprises,REG-KL-307888,Kerala,10,False
VEN-00248,Star Associates,REG-TG-970899,Telangana,8,False
VEN-00249,Krishna Contractors,REG-TN-278234,Tamil Nadu,4,False
VEN-00250,Jai Bharat Contractors,REG-MP-818380,Madhya Pradesh,3,False
VEN-00251,Vishwakarma Infrastructure Ltd,REG-AP-228694,Andhra Pradesh,6,False
VEN-00252,Shakti Infra Projects,REG-HR-283510,Haryana,6,False
VEN-00253,Om Developers,REG-HR-331590,Haryana,4,False
VEN-00254,Reliable Enterprises,REG-TN-196106,Tamil Nadu,5,False
VEN-00255,Ananya Infra Projects,REG-KA-639364,Karnataka,7,False
VEN-00256,Om Infrastructure Ltd,REG-BR-299362,Bihar,5,False
VEN-00257,National Works & Co,REG-MP-317332,Madhya Pradesh,4,False
VEN-00258,Om Works & Co,REG-MH-997567,Maharashtra,2,False
VEN-00259,Sundar Associates,REG-MP-478228,Madhya Pradesh,5,False
VEN-00260,New Age Works & Co,REG-BR-233870,Bihar,9,False
VEN-00261,Vishwakarma Engineering Works,REG-RJ-310868,Rajasthan,6,False
VEN-00262,Ganesh Associates,REG-WB-994551,West Bengal,2,False
VEN-00263,Trust Infrastructure Ltd,REG-BR-474031,Bihar,5,False
VEN-00264,Jai Bharat Contractors,REG-UP-561421,Uttar Pradesh,5,False
VEN-00265,Laxmi Enterprises,REG-TN-197203,Tamil Nadu,5,False
VEN-00266,Silver Line Works & Co,REG-HR-110319,Haryana,6,False
VEN-00267,Trust Engineering Works,REG-OD-193220,Odisha,347,True
VEN-00268,Trust Infrastructure Ltd,REG-WB-616015,West Bengal,8,False
VEN-00269,Shakti Engineering Works,REG-UP-925274,Uttar Pradesh,6,False
VEN-00270,Krishna Associates,REG-PB-938879,Punjab,6,False
VEN-00271,United Contractors,REG-AP-994653,Andhra Pradesh,5,False
VEN-00272,Prime Builders,REG-TG-291426,Telangana,6,False
VEN-00273,Om Engineering Works,REG-TG-831830,Telangana,8,False
VEN-00274,Bharat Works & Co,REG-AP-509373,Andhra Pradesh,3,False
VEN-00275,Krishna Infrastructure Ltd,REG-HR-907147,Haryana,4,False
VEN-00276,Silver Line Infrastructure Ltd,REG-GJ-387224,Gujarat,2,False
VEN-00277,Reliable Constructions,REG-PB-116127,Punjab,7,False
VEN-00278,Sundar Constructions,REG-KL-219152,Kerala,4,False
VEN-00279,Elite Contractors,REG-JH-673954,Jharkhand,4,False
VEN-00280,National Enterprises,REG-WB-338718,West Bengal,3,False
VEN-00281,Vishwakarma Infrastructure Ltd,REG-TN-266887,Tamil Nadu,3,False
VEN-00282,Ganesh Associates,REG-BR-785499,Bihar,5,False
VEN-00283,National Engineering Works,REG-HR-951652,Haryana,4,False
VEN-00284,New Age Works & Co,REG-MH-492437,Maharashtra,4,False
VEN-00285,Golden Contractors,REG-HR-456919,Haryana,3,False
VEN-00286,Green Valley Builders,REG-BR-894418,Bihar,5,False
VEN-00287,United Associates,REG-RJ-452395,Rajasthan,5,False
VEN-00288,Shakti Developers,REG-BR-441590,Bihar,4,False
VEN-00289,Shakti Engineering Works,REG-OD-234539,Odisha,5,False
VEN-00290,United Enterprises,REG-TG-144314,Telangana,5,False
VEN-00291,Divya Developers,REG-JH-632613,Jharkhand,10,False
VEN-00292,United Engineering Works,REG-CG-138086,Chhattisgarh,3,False
VEN-00293,Trust Engineering Works,REG-JH-104895,Jharkhand,6,False
VEN-00294,Sundar Constructions,REG-KA-748062,Karnataka,5,False
VEN-00295,Star Infrastructure Ltd,REG-OD-531473,Odisha,3,False
VEN-00296,Krishna Works & Co,REG-AS-360483,Assam,4,False
VEN-00297,Sundar Infrastructure Ltd,REG-WB-533405,West Bengal,6,False
VEN-00298,Divya Enterprises,REG-CG-977133,Chhattisgarh,4,False
VEN-00299,Krishna Developers,REG-JH-740994,Jharkhand,5,False
VEN-00300,Vishwakarma Works & Co,REG-JH-526864,Jharkhand,5,False
VEN-00301,Laxmi Engineering Works,REG-GJ-298003,Gujarat,3,False
VEN-00302,Krishna Constructions,REG-MH-843193,Maharashtra,2,False
VEN-00303,Sundar Infrastructure Ltd,REG-RJ-226610,Rajasthan,5,False
VEN-00304,Shree Sai Associates,REG-KA-173727,Karnataka,7,False
VEN-00305,Star Constructions,REG-PB-354169,Punjab,7,False
VEN-00306,Shree Sai Associates,REG-MP-380433,Madhya Pradesh,2,False
VEN-00307,Golden Infrastructure Ltd,REG-MH-175265,Maharashtra,4,False
VEN-00308,United Enterprises,REG-AP-260112,Andhra Pradesh,5,False
VEN-00309,Krishna Associates,REG-WB-682146,West Bengal,8,False
VEN-00310,Bharat Associates,REG-WB-571040,West Bengal,8,False
VEN-00311,Bharat Builders,REG-MP-910883,Madhya Pradesh,4,False
VEN-00312,Ananya Engineering Works,REG-KL-985847,Kerala,4,False
VEN-00313,National Works & Co,REG-KA-470084,Karnataka,5,False
VEN-00314,Ananya Enterprises,REG-AS-220007,Assam,3,False
VEN-00315,Sundar Engineering Works,REG-AP-505312,Andhra Pradesh,4,False
VEN-00316,Shree Sai Works & Co,REG-UP-357914,Uttar Pradesh,6,False
VEN-00317,Om Contractors,REG-TN-128967,Tamil Nadu,3,False
VEN-00318,Sundar Engineering Works,REG-MH-902678,Maharashtra,7,False
VEN-00319,Shree Sai Enterprises,REG-TN-149990,Tamil Nadu,7,False
VEN-00320,Krishna Infrastructure Ltd,REG-JH-696371,Jharkhand,4,False
VEN-00321,Reliable Engineering Works,REG-TN-908064,Tamil Nadu,4,False
VEN-00322,Bharat Engineering Works,REG-MP-431204,Madhya Pradesh,7,False
VEN-00323,Ananya Works & Co,REG-MH-190789,Maharashtra,5,False
VEN-00324,Vishwakarma Builders,REG-TN-508872,Tamil Nadu,5,True
VEN-00325,Krishna Constructions,REG-BR-680163,Bihar,7,False
VEN-00326,Green Valley Works & Co,REG-PB-590661,Punjab,2,False
VEN-00327,Krishna Enterprises,REG-TG-533136,Telangana,3,False
VEN-00328,Reliable Contractors,REG-HR-689709,Haryana,4,False
VEN-00329,Shree Sai Engineering Works,REG-OD-408996,Odisha,8,False
VEN-00330,Ganesh Engineering Works,REG-MP-819267,Madhya Pradesh,5,False
VEN-00331,Vishwakarma Works & Co,REG-PB-184023,Punjab,4,False
VEN-00332,Prime Constructions,REG-OD-600091,Odisha,4,False
VEN-00333,Ganesh Engineering Works,REG-WB-654067,West Bengal,7,False
VEN-00334,Krishna Infrastructure Ltd,REG-MP-703653,Madhya Pradesh,7,False
VEN-00335,Ananya Builders,REG-KA-140418,Karnataka,8,False
VEN-00336,Shakti Associates,REG-WB-574850,West Bengal,4,False
VEN-00337,Prime Associates,REG-MH-284813,Maharashtra,6,False
VEN-00338,Ganesh Associates,REG-BR-224325,Bihar,274,True
VEN-00339,Bharat Constructions,REG-AP-124161,Andhra Pradesh,2,False
VEN-00340,Ananya Constructions,REG-BR-232385,Bihar,4,False
VEN-00341,Jai Bharat Works & Co,REG-AP-226708,Andhra Pradesh,3,False
VEN-00342,Jai Bharat Associates,REG-KL-900364,Kerala,5,False
VEN-00343,Prime Developers,REG-WB-204187,West Bengal,5,False
VEN-00344,Laxmi Associates,REG-TG-254512,Telangana,2,False
VEN-00345,Ananya Constructions,REG-MH-639767,Maharashtra,10,False
VEN-00346,Om Constructions,REG-BR-691971,Bihar,6,False
VEN-00347,United Contractors,REG-GJ-887861,Gujarat,5,False
VEN-00348,Metro Infrastructure Ltd,REG-TG-262176,Telangana,8,False
VEN-00349,Golden Builders,REG-PB-789744,Punjab,7,False
VEN-00350,Vishwakarma Engineering Works,REG-HR-976038,Haryana,4,False
VEN-00351,New Age Infra Projects,REG-MP-498144,Madhya Pradesh,4,False
VEN-00352,Trust Works & Co,REG-GJ-727217,Gujarat,1,False
VEN-00353,Divya Contractors,REG-MP-203705,Madhya Pradesh,9,False
VEN-00354,Krishna Contractors,REG-TN-690175,Tamil Nadu,6,False
VEN-00355,Divya Contractors,REG-UP-830573,Uttar Pradesh,8,False
VEN-00356,Shree Sai Builders,REG-AP-742089,Andhra Pradesh,4,False
VEN-00357,National Works & Co,REG-MP-803502,Madhya Pradesh,7,False
VEN-00358,Jai Bharat Builders,REG-KL-899385,Kerala,3,False
VEN-00359,Sundar Engineering Works,REG-MH-851762,Maharashtra,7,False
VEN-00360,Trust Developers,REG-PB-742921,Punjab,3,False
VEN-00361,Jai Bharat Contractors,REG-GJ-168363,Gujarat,5,False
VEN-00362,National Infrastructure Ltd,REG-AS-350786,Assam,7,False
VEN-00363,Sundar Builders,REG-GJ-870641,Gujarat,1,False
VEN-00364,Green Valley Developers,REG-JH-586428,Jharkhand,5,False
VEN-00365,National Engineering Works,REG-KL-757508,Kerala,5,False
VEN-00366,Krishna Contractors,REG-HR-171174,Haryana,4,False
VEN-00367,Ganesh Engineering Works,REG-AP-568688,Andhra Pradesh,4,False
VEN-00368,New Age Engineering Works,REG-MP-958985,Madhya Pradesh,5,True
VEN-00369,Krishna Constructions,REG-AS-492056,Assam,2,False
VEN-00370,New Age Constructions,REG-KL-372677,Kerala,3,False
VEN-00371,Reliable Infra Projects,REG-RJ-798950,Rajasthan,3,False
VEN-00372,Trust Builders,REG-UP-297733,Uttar Pradesh,4,False
VEN-00373,Star Associates,REG-AP-427996,Andhra Pradesh,4,False
VEN-00374,Laxmi Associates,REG-GJ-987616,Gujarat,8,False
VEN-00375,Sundar Works & Co,REG-WB-266690,West Bengal,2,False
VEN-00376,National Builders,REG-TG-338315,Telangana,5,False
VEN-00377,Divya Infrastructure Ltd,REG-MP-412044,Madhya Pradesh,6,False
VEN-00378,Ananya Associates,REG-JH-635510,Jharkhand,2,False
